time,node,valid,tracked,px,py,pz,qx,qy,qz,qw,trigger,axisX,axisY
3371.878,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3371.878,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3372.092,Head,True,True,0.2635083,0.04455805,-0.434433,-0.2134269,-0.2004883,-0.0294869,0.9557112,0,0,0
3372.092,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3372.092,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3372.293,Head,True,True,0.2644375,0.04336596,-0.4330229,-0.2100614,-0.1997482,-0.0284484,0.9566429,0,0,0
3372.293,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3372.293,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3372.494,Head,True,True,0.2664309,0.04468358,-0.4340492,-0.2157806,-0.1972239,-0.02993792,0.9558479,0,0,0
3372.494,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3372.494,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3372.696,Head,True,True,0.2669087,0.0446521,-0.4335767,-0.215448,-0.1966594,-0.03156591,0.9559869,0,0,0
3372.696,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756949,-0.3520695,0.8680047,0,0,0
3372.696,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.8202621,0,0,0
3372.908,Head,True,True,0.2662773,0.04488611,-0.4335575,-0.2172829,-0.1967097,-0.03152435,0.9555625,0,0,0
3372.908,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756949,-0.3520695,0.8680047,0,0,0
3372.908,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.8202621,0,0,0
3373.128,Head,True,True,0.2648348,0.04420137,-0.4330537,-0.2153729,-0.1996676,-0.03131773,0.9553882,0,0,0
3373.128,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756949,-0.3520695,0.8680047,0,0,0
3373.128,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.8202621,0,0,0
3373.343,Head,True,True,0.2645852,0.04450428,-0.4332876,-0.2160119,-0.2006122,-0.03131792,0.955046,0,0,0
3373.343,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756949,-0.3520695,0.8680047,0,0,0
3373.343,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.8202621,0,0,0
3373.547,Head,True,True,0.2650202,0.04443085,-0.4330532,-0.2157512,-0.2002892,-0.03247828,0.9551339,0,0,0
3373.547,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3373.547,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.8202621,0,0,0
3373.763,Head,True,True,0.2648883,0.04458201,-0.4331021,-0.2165453,-0.2004272,-0.03303216,0.9549062,0,0,0
3373.763,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3373.763,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3373.982,Head,True,True,0.2638024,0.04444444,-0.4334601,-0.2155553,-0.2018245,-0.03248696,0.9548547,0,0,0
3373.982,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756949,-0.3520695,0.8680047,0,0,0
3373.982,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.8202621,0,0,0
3374.199,Head,True,True,0.2630888,0.04485047,-0.4338231,-0.2167629,-0.2025855,-0.03207071,0.9544341,0,0,0
3374.199,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756948,-0.3520695,0.8680047,0,0,0
3374.199,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.820262,0,0,0
3374.419,Head,True,True,0.2635567,0.04474342,-0.4327575,-0.2159981,-0.2023754,-0.03221376,0.9546472,0,0,0
3374.419,LeftHand,True,True,0.1694946,-0.391733,-0.2802327,-0.3028965,0.1756949,-0.3520695,0.8680047,0,0,0
3374.419,RightHand,True,True,0.5730035,-0.3553483,-0.1221061,-0.359501,-0.3354844,0.2921976,0.8202621,0,0,0
